currentdate,currenttime,temperature_kettle,temperature_mash,temperature_amb,weight,heater
2020-04-22,12:13:01,0,0,33,0,0
2020-04-22,12:13:55,0,220.7,188.1,0.54,0
2020-04-22,12:14:55,13.35,221.5,163.1,0.17,0
2020-04-22,12:15:55,13.35,206.1,151.5,-0.03,0
2020-04-22,12:16:55,13.31,220.5,183.8,-0.9,0
2020-04-22,12:17:55,13.45,221.4,142.9,0.79,0
2020-04-22,12:18:55,12.7,219.1,156.2,-0.76,0
2020-04-22,12:19:55,13,219.1,137.3,-0.99,0
2020-04-22,12:21:53,0,219.8,173.6,-0.48,0
2020-04-22,12:22:53,12.85,222.3,158.5,-0.75,0
2020-04-22,12:23:53,13.49,222,160.6,-0.14,0
2020-04-22,12:24:53,14.63,222.3,25.1,0,0
2020-04-22,12:25:53,13.72,221.9,200.7,-0.02,0
2020-04-22,12:26:53,13.55,219.8,146.7,-0.46,0
2020-04-22,12:27:53,14.07,219.9,56.8,3.07,0
2020-04-22,12:28:53,12.4,220.3,69.7,14.79,0
2020-04-22,12:29:53,11.08,220.4,175.2,18.62,0
2020-04-22,12:30:53,11.41,221.3,157.2,18.51,0
2020-04-22,12:31:53,11.14,220.7,140.7,18.4,0
2020-04-22,12:32:53,11.19,221.3,141.1,18.28,0
2020-04-22,12:33:53,10.73,220,175.1,18.09,0
2020-04-22,12:34:53,11.32,220.1,164,17.93,0
2020-04-22,12:35:53,11.17,221.4,171.8,17.9,0
2020-04-22,12:36:53,10.88,220.2,142.6,17.8,0
2020-04-22,12:37:53,10.07,219.9,170.9,17.71,0
2020-04-22,12:38:53,11.09,218.6,169.9,17.68,0
2020-04-22,12:39:53,11.25,221.6,196.2,18,1
2020-04-22,12:40:53,11.56,222,221.8,18.69,1
2020-04-22,12:41:53,11.7,219,31.9,18.55,1
2020-04-22,12:42:53,11.7,222.2,195.1,18.38,1
2020-04-22,12:43:53,12.74,220.9,-144.5,18.44,1
2020-04-22,12:44:53,13.16,221.9,222.4,19.39,1
2020-04-22,12:45:53,13.99,220.5,222.3,19.53,1
2020-04-22,12:46:53,14.45,221.8,-120.5,19.47,1
2020-04-22,12:47:53,15.39,221,-213.8,19.77,1
2020-04-22,12:48:53,14.85,221,-70.7,19.7,1
2020-04-22,12:49:53,16.26,220.2,216.1,19.79,1
2020-04-22,12:50:53,17.02,219.3,196.6,19.91,1
2020-04-22,12:51:53,18.82,221.5,125.8,19.93,1
2020-04-22,12:52:53,19.22,220.8,-184.1,19.88,1
2020-04-22,12:53:53,21.28,222.1,14.7,19.94,1
2020-04-22,12:54:53,22.59,219.2,-85.2,19.96,1
2020-04-22,12:55:53,22.19,220.3,-131.3,19.99,1
2020-04-22,12:56:53,24.61,220.1,4.8,19.93,1
2020-04-22,12:57:53,25.03,222,-103.4,20.03,1
2020-04-22,12:58:53,27.08,221,169.4,19.97,1
2020-04-22,12:59:53,26.46,220.1,-21.6,20.1,1
2020-04-22,13:00:53,28.33,217.9,222.4,20.06,1
2020-04-22,13:01:53,29.67,221.5,222.4,20.15,1
2020-04-22,13:02:53,29.94,221.4,222.4,20.14,1
2020-04-22,13:03:53,30.43,220.9,-32.6,20.14,1
2020-04-22,13:04:53,30.34,221.2,-196,20.23,1
2020-04-22,13:05:53,32.64,219,169.2,20.15,1
2020-04-22,13:06:53,32.68,220.8,221.7,20.24,1
2020-04-22,13:07:53,36.37,220.8,120.2,20.26,1
2020-04-22,13:08:53,35.98,222.1,128.3,19.98,1
2020-04-22,13:09:53,37.55,221.6,175.6,19.65,1
2020-04-22,13:10:53,37.82,221.6,221.2,19.2,1
2020-04-22,13:11:53,37.81,221.8,221.8,19.17,1
2020-04-22,13:12:54,39.38,221.5,-112.3,19.07,1
2020-04-22,13:13:54,41.13,220.6,195.7,19.13,1
2020-04-22,13:14:54,41.77,221.2,210.1,19.16,1
2020-04-22,13:15:54,43.27,219.7,54.7,19.07,0
2020-04-22,13:16:54,42.95,219.5,126.7,19.21,1
2020-04-22,13:17:54,42.37,219.1,172.7,19.22,1
2020-04-22,13:18:54,43.66,221.2,104.6,19.11,0
2020-04-22,13:19:54,44.1,220.1,140,19.14,0
2020-04-22,13:20:54,45.28,221.2,142.6,19.17,0
2020-04-22,13:21:54,45.08,219.6,69.2,19.18,0
2020-04-22,13:22:54,44.79,221.7,92.3,19.26,0
2020-04-22,13:23:54,43.73,218.5,133.9,19.28,0
2020-04-22,13:24:54,44.08,218.6,83.7,19.25,0
2020-04-22,13:25:54,44.02,221.8,130.7,19.21,0
2020-04-22,13:26:54,42.27,221.1,220.1,19.47,1
2020-04-22,13:27:54,42.08,221.9,218.9,19,1
2020-04-22,13:28:54,44.42,221.6,90,18.94,0
2020-04-22,13:29:54,43.74,221.2,42.7,18.95,0
2020-04-22,13:30:54,44.28,217.9,95.5,19.15,0
2020-04-22,13:31:54,45.05,221.6,146.6,19.23,0
2020-04-22,13:32:54,44.66,218.6,144.6,19.24,0
2020-04-22,13:33:54,44.35,221.6,124.9,19.24,0
2020-04-22,13:34:54,44.15,220.9,84.8,19.22,0
2020-04-22,13:35:54,43.52,219,112.9,19.2,0
2020-04-22,13:36:54,43.42,219,103.4,19.19,0
2020-04-22,13:37:54,42.38,221.2,-128,19.48,1
2020-04-22,13:38:54,42.67,220.3,-168.6,19.52,1
2020-04-22,13:39:54,43.23,222,82,19.01,0
2020-04-22,13:40:54,44.15,218.8,94.1,18.92,0
2020-04-22,13:41:54,44.69,220.3,126.4,18.93,0
2020-04-22,13:42:54,43.08,220.4,62,18.93,0
2020-04-22,13:43:54,43.92,221.6,82,18.91,0
2020-04-22,13:44:54,44.18,219.5,149.7,18.91,0
2020-04-22,13:45:54,43.06,219.7,50.2,18.91,0
2020-04-22,13:46:54,43.6,220.2,86.7,18.9,0
2020-04-22,13:47:54,43.89,219.5,142.6,18.89,0
2020-04-22,13:48:54,43.33,218.4,100.5,18.87,0
2020-04-22,13:49:54,42.95,217.7,-152,19.27,1
2020-04-22,13:50:54,42.42,219.5,-34.9,19.52,1
2020-04-22,13:51:54,43.89,218,77.4,18.93,0
2020-04-22,13:52:54,44.11,220.3,106.5,18.85,0
2020-04-22,13:53:54,45.09,219.8,121.8,18.85,0
2020-04-22,13:54:54,43.93,217,100.2,18.85,0
2020-04-22,13:55:54,44.09,219.8,96.7,18.84,0
2020-04-22,13:56:54,44.34,220.3,90.7,18.84,0
2020-04-22,13:57:54,43.79,220.8,155.8,18.87,0
2020-04-22,13:58:54,44.7,221.5,146.5,18.9,0
2020-04-22,13:59:54,44.49,221.8,104.7,18.88,0
2020-04-22,14:00:54,45.2,218.5,132.6,18.86,0
2020-04-22,14:01:54,43.34,222.1,66.6,18.84,0
2020-04-22,14:02:54,44.25,218.8,143.3,18.83,0
2020-04-22,14:03:54,44.35,220.2,139.6,18.82,0
2020-04-22,14:04:54,43.78,222.2,111.8,18.81,0
2020-04-22,14:05:54,44.29,219.9,147,18.83,0
2020-04-22,14:06:54,43.34,221.7,99.9,18.86,0
2020-04-22,14:07:54,44.24,220.7,127.4,18.8,0
2020-04-22,14:08:54,43.64,221.4,117,18.8,0
2020-04-22,14:09:54,43.11,222.2,151.6,19.07,1
2020-04-22,14:10:54,42.8,221.9,185.2,19.44,1
2020-04-22,14:11:54,42.19,222,222.3,19.43,1
2020-04-22,14:12:54,43.05,219.8,222.2,19.03,1
2020-04-22,14:13:54,43.46,221.2,209.6,18.97,1
2020-04-22,14:14:54,44.75,221.7,214,18.99,1
2020-04-22,14:15:54,45.52,218.8,222.3,19.04,1
2020-04-22,14:16:54,46.27,221.8,-126.8,19.16,1
2020-04-22,14:17:54,46.42,221.8,219.2,19.17,1
2020-04-22,14:18:54,48.94,221,-81.7,19.19,1
2020-04-22,14:19:54,48.66,219.4,-196.9,19.25,1
2020-04-22,14:20:54,48.43,220.8,-100.8,19.28,1
2020-04-22,14:21:54,51.18,221.1,222.3,19.48,1
2020-04-22,14:22:54,50.39,220.5,196,19.53,1
2020-04-22,14:23:54,51.19,219,-180.9,19.55,1
2020-04-22,14:24:54,51.99,219.3,117,19.59,1
2020-04-22,14:25:54,52.66,220.8,-45.8,19.46,1
2020-04-22,14:26:54,53.28,221.9,148.5,19.4,0
2020-04-22,14:27:54,54.28,222.3,176.6,19.44,0
2020-04-22,14:28:54,53.06,219.3,78,19.32,0
2020-04-22,14:29:54,53.37,219.5,163.7,19.26,0
2020-04-22,14:30:54,53.32,220.1,149,19.6,0
2020-04-22,14:31:54,53.06,219.2,79.1,19.27,0
2020-04-22,14:32:54,52.92,219.2,222.3,19.32,1
